date,pressure,maxtemp,meantemp,mintemp,dewpointtemp,relhum,cloudpct,rainfall,reducedvis,sunshine,radiation,evaporation,winddir,windspeed
2000-01-01,1017.1,22.7,19.2,17.2,13.3,69,6,,,9.8,13.83,2.1,040,12.6
2000-01-02,1017.2,23.6,20.4,17.8,13.1,64,2,,,9.3,13.23,3.0,010,9.4
2000-01-03,1016.8,20.5,19.2,18.2,12.8,67,10,,,9.0,13.50,3.0,040,25.6
2000-01-04,1016.1,20.5,18.9,17.5,14.0,74,60,,,3.9,9.27,2.4,040,24.8
2000-01-05,1013.9,23.2,20.6,18.3,15.8,75,40,,,6.7,12.81,2.1,030,15.5
2000-01-06,1013.7,23.4,21.2,19.2,18.5,85,48,,,7.2,12.79,2.5,020,7.8
2000-01-07,1016.8,20.8,18.9,17.9,15.5,81,88,,,0.6,6.63,2.4,070,33.3
2000-01-08,1016.0,20.2,18.5,16.8,14.3,77,46,,,8.3,14.77,2.5,060,25.2
2000-01-09,1015.0,22.8,19.9,18.3,16.7,82,71,,,2.6,8.81,1.5,030,9.5
2000-01-10,1015.5,22.1,20.1,18.7,16.7,81,78,0,,5.9,12.69,3.3,050,22.3
2000-01-11,1015.1,20.3,19.3,18.2,16.3,83,94,0,,2.2,8.67,2.2,040,27.0
2000-01-12,1013.1,24.0,21.6,19.9,19.1,86,59,0,,3.9,10.31,2.0,030,11.1
2000-01-13,1013.0,21.0,19.5,18.4,17.1,86,90,0,,,5.12,1.8,030,17.2
2000-01-14,1014.0,18.8,18.2,17.8,15.4,84,92,0,,,3.15,1.3,060,37.6
2000-01-15,1014.4,19.6,18.5,17.3,15.5,83,82,,,3.6,11.64,2.5,060,32.4
2000-01-16,1016.0,21.1,19.2,17.8,16.4,84,74,,,4.7,11.08,2.7,030,20.4
2000-01-17,1018.3,19.2,17.2,14.9,12.5,74,89,,,0.1,5.26,2.5,010,21.4
2000-01-18,1021.2,15.2,13.3,11.9,7.4,68,95,,,,3.08,2.0,010,28.8
2000-01-19,1023.3,15.2,12.7,9.9,4.6,58,54,,,6.7,12.09,3.5,010,26.2
2000-01-20,1024.6,15.7,14.1,12.2,6.9,62,19,,,9.0,15.14,2.8,070,40.6
2000-01-21,1025.4,16.9,15.2,13.4,9.7,70,85,,,1.9,7.21,1.6,070,46.4
2000-01-22,1021.2,19.3,17.9,16.4,12.8,72,89,0,,0.1,4.59,1.2,060,31.1
2000-01-23,1017.8,19.6,18.6,17.2,17.6,95,100,32.6,,,3.33,2.8,040,23.3
2000-01-24,1018.6,18.6,18.3,17.7,17.6,96,100,30.8,,,2.04,0.7,050,26.0
2000-01-25,1024.0,17.8,12.9,10.5,10.2,84,100,6.8,,,3.28,0.4,010,39.1
2000-01-26,1028.0,11.9,9.8,8.2,4.3,69,73,0,,2.4,9.50,2.8,010,38.0
2000-01-27,1028.3,12.7,10.0,7.2,1.3,55,13,,,9.7,16.45,3.0,010,30.1
2000-01-28,1026.6,15.4,12.3,9.7,4.7,60,55,,,6.3,12.38,1.7,040,27.8
2000-01-29,1026.6,18.1,15.1,12.9,8.5,65,40,,,7.6,14.32,3.0,060,24.3
2000-01-30,1028.4,17.3,14.4,11.5,5.1,54,40,,,9.2,16.10,3.9,010,31.6
2000-01-31,1028.4,14.0,12.0,10.9,4.8,62,88,0.1,,,5.37,2.9,010,29.8
2000-02-01,1026.7,12.9,10.8,8.5,6.8,77,85,4.8,,1.3,8.84,3.0,010,28.3
2000-02-02,1023.9,15.3,12.8,9.7,10.0,83,88,1.6,,0.1,5.54,0.5,360,18.5
2000-02-03,1020.9,18.7,15.7,13.3,12.8,83,88,0.6,,1.3,8.21,1.5,020,18.0
2000-02-04,1019.3,18.3,16.2,15.0,13.5,84,86,0,,2.9,9.99,1.5,060,30.0
2000-02-05,1018.3,20.6,17.0,14.9,14.0,83,28,,,9.1,16.12,3.0,060,16.7
2000-02-06,1016.7,18.3,16.2,13.8,11.1,72,13,,,10.3,17.45,3.4,360,16.8
2000-02-07,1017.0,19.5,16.4,14.3,10.5,69,54,,,8.3,15.45,3.5,030,17.0
2000-02-08,1018.8,17.3,14.6,12.3,7.0,61,28,,,8.0,14.48,2.9,010,27.0
2000-02-09,1019.0,16.7,14.7,13.3,8.5,67,27,,,9.6,17.17,3.1,070,33.8
